rows,world,it,time,tag,out
1000,16,0,13.241588592529297,a=hash u=0.9 c=gloo,1103
1000,16,1,11.070521354675293,a=hash u=0.9 c=gloo,1103
1000,16,2,11.316926002502441,a=hash u=0.9 c=gloo,1103
1000,16,3,10.98807144165039,a=hash u=0.9 c=gloo,1103
1000,16,4,10.771228790283203,a=hash u=0.9 c=gloo,1103
1000000000,1,0,415529.03125,a=sort u=0.9 c=gloo,1111113334
1000000000,1,1,442810.0,a=sort u=0.9 c=gloo,1111113334
1000000000,1,2,446123.4375,a=sort u=0.9 c=gloo,1111113334
1000000000,1,3,448516.78125,a=sort u=0.9 c=gloo,1111113334
1000000000,1,4,450180.5625,a=sort u=0.9 c=gloo,1111113334
1000000000,2,0,245648.53125,a=sort u=0.9 c=gloo,1111106881
1000000000,2,1,263813.65625,a=sort u=0.9 c=gloo,1111106881
1000000000,2,2,257639.5625,a=sort u=0.9 c=gloo,1111106881
1000000000,2,3,289157.125,a=sort u=0.9 c=gloo,1111106881
1000000000,2,4,273578.75,a=sort u=0.9 c=gloo,1111106881
1000000000,4,0,115316.875,a=sort u=0.9 c=gloo,1111079031
1000000000,4,1,128164.734375,a=sort u=0.9 c=gloo,1111079031
1000000000,4,2,128910.234375,a=sort u=0.9 c=gloo,1111079031
1000000000,4,3,137792.546875,a=sort u=0.9 c=gloo,1111079031
1000000000,4,4,136978.265625,a=sort u=0.9 c=gloo,1111079031
1000000000,8,0,61557.4609375,a=sort u=0.9 c=gloo,1111155729
1000000000,8,1,65787.9375,a=sort u=0.9 c=gloo,1111155729
1000000000,8,2,67609.84375,a=sort u=0.9 c=gloo,1111155729
1000000000,8,3,66629.7421875,a=sort u=0.9 c=gloo,1111155729
1000000000,8,4,67206.125,a=sort u=0.9 c=gloo,1111155729
1000000000,16,0,28806.576171875,a=sort u=0.9 c=gloo,1111089774
1000000000,16,1,32088.623046875,a=sort u=0.9 c=gloo,1111089774
1000000000,16,2,31583.50390625,a=sort u=0.9 c=gloo,1111089774
1000000000,16,3,34073.12109375,a=sort u=0.9 c=gloo,1111089774
1000000000,16,4,33728.8359375,a=sort u=0.9 c=gloo,1111089774
1000000000,32,0,16253.341796875,a=sort u=0.9 c=gloo,1111149733
1000000000,32,1,18115.85546875,a=sort u=0.9 c=gloo,1111149733
1000000000,32,2,18604.6015625,a=sort u=0.9 c=gloo,1111149733
1000000000,32,3,18968.5703125,a=sort u=0.9 c=gloo,1111149733
1000000000,32,4,19148.48046875,a=sort u=0.9 c=gloo,1111149733
1000000000,32,5,19707.720703125,a=sort u=0.9 c=gloo,1111149733
1000000000,32,6,17881.744140625,a=sort u=0.9 c=gloo,1111149733
1000000000,32,7,18525.2109375,a=sort u=0.9 c=gloo,1111149733
1000000000,64,0,11295.5380859375,a=sort u=0.9 c=gloo,1111130568
1000000000,64,1,10051.3388671875,a=sort u=0.9 c=gloo,1111130568
